,id,seglen_hor,seglen_ver,segdist_hor,segdist_ver,cross_deg,segdeg_hor,segdeg_ver,dist_hor,dist_ver
41,41,0.035158012,0.5180801,0.48586783,0.24988276,1.4401915,0.099532664,1.5397242,0.09493816,0.025830964
42,42,0.041799452,0.627233,0.4713027,0.10256787,1.535938,0.075862564,1.5297922,0.14168416,0.044104643
43,43,0.041799452,0.064434,0.24560377,0.0881434,1.4769287,0.075862564,1.5527912,0.1017921,0.120774224
44,44,0.041799452,0.06222106,0.21322559,0.1202793,1.4888302,0.075862564,1.5646927,0.13407713,0.11750231
45,45,0.041799452,0.5180801,0.25024682,0.15442422,1.526006,0.075862564,1.5397242,0.097162366,0.121243425
46,46,0.051765822,0.064434,0.09800405,0.11383368,1.5422103,0.046591192,1.5527912,0.102138996,0.09508811
47,47,0.051765822,0.06222106,0.065937586,0.14070256,1.5303088,0.046591192,1.5646927,0.13417065,0.09707941
48,48,0.051765822,0.5180801,0.10360461,0.18094012,1.4931331,0.046591192,1.5397242,0.096544504,0.09474032
49,49,0.048415873,0.627233,0.046474054,0.03361492,1.5064458,0.10535478,1.5297922,0.13956425,0.11299964
50,50,0.040032987,0.064434,0.14327699,0.08824145,1.5563825,0.03241897,1.5527912,0.10179341,0.12067619
51,51,0.040032987,0.06222106,0.11099725,0.11571025,1.544481,0.03241897,1.5646927,0.13405621,0.12207125
52,52,0.040032987,0.5180801,0.14792848,0.15519285,1.5073053,0.03241897,1.5397242,0.097144365,0.12047517
53,53,0.05496824,0.627233,0.32384947,0.03831416,1.5638489,0.03405662,1.5297922,0.13970874,0.10830435
54,54,0.05496824,0.064434,0.38041887,0.06614037,1.5187346,0.03405662,1.5527912,0.10149497,0.14277369
55,55,0.05496824,0.06222106,0.34792677,0.096482605,1.5306361,0.03405662,1.5646927,0.13396817,0.14129855
56,56,0.05496824,0.5180801,0.38424778,0.13270965,1.5678118,0.03405662,1.5397242,0.09766823,0.14294752
57,57,0.036664516,0.064434,0.08664662,0.08082354,1.5419114,0.010879851,1.5527912,0.10169321,0.1280929
58,58,0.036664516,0.06222106,0.054307163,0.11015763,1.5538129,0.010879851,1.5646927,0.13403076,0.12762378
59,59,0.036664516,0.5180801,0.09101658,0.14750803,1.5506041,0.010879851,1.5397242,0.09732348,0.12815629
60,60,0.80976987,0.627233,0.05903021,0.012918683,1.5591774,0.05262313,1.5297922,0.13892794,0.13367848
61,61,0.80976987,0.064434,0.010489578,0.021842021,1.5001681,0.05262313,1.5527912,0.1008966,0.18706486
62,62,0.80976987,0.06222106,0.022428712,0.05302411,1.5120696,0.05262313,1.5646927,0.13376933,0.18475623
63,63,0.80976987,0.5180801,0.012688871,0.0884167,1.5492454,0.05262313,1.5397242,0.098700345,0.18721908
64,64,0.038360063,0.064434,0.046947267,0.06664892,1.5230954,0.06570618,1.5527912,0.10150176,0.14226522
65,65,0.038360063,0.06222106,0.014428157,0.092668965,1.5111939,0.06570618,1.5646927,0.13395071,0.14511211
66,66,0.038360063,0.5180801,0.050812926,0.13373087,1.4740181,0.06570618,1.5397242,0.09764445,0.1419268
67,67,0.035039134,0.064434,0.20709978,0.06065816,1.5468733,0.04192818,1.5527912,0.10142088,0.148255
68,68,0.035039134,0.06222106,0.17456406,0.0877076,1.5349718,0.04192818,1.5646927,0.133928,0.15007338
69,69,0.035039134,0.5180801,0.21073662,0.12760295,1.497796,0.04192818,1.5397242,0.09778726,0.14805175
70,70,0.08348008,0.064434,0.10382607,0.054495126,1.5375477,0.05125378,1.5527912,0.10133767,0.15441705
71,71,0.08348008,0.06222106,0.071223035,0.08113675,1.5256462,0.05125378,1.5646927,0.1338979,0.15664412
72,72,0.08348008,0.5180801,0.10723805,0.12146777,1.4884704,0.05125378,1.5397242,0.09793019,0.15418398
73,73,0.8534546,0.5180801,0.013412192,0.018702194,1.5554135,0.015689224,1.5397242,0.11326772,0.18788362
74,74,0.033374164,0.627233,0.43822682,0.06736198,1.4867485,0.04304377,1.5297922,0.1171758,0.15940255
75,75,0.03998994,0.627233,0.49025375,0.033541784,1.5521933,0.022401052,1.5297922,0.11821558,0.19319433
76,76,0.03998994,0.5180801,0.23805457,0.036345735,1.5621253,0.022401052,1.5397242,0.11367887,0.17024863
77,77,0.07001491,0.5180801,0.06620901,0.04102159,1.5469722,0.007247896,1.5397242,0.11378783,0.16557503
78,78,0.04665411,0.627233,0.036004312,0.051032957,1.506597,0.023195142,1.5297922,0.11767784,0.17571783
79,79,0.0498271,0.627233,0.18164234,0.06988649,1.4735186,0.05627354,1.5297922,0.117098175,0.15688014
